segment,step,before,target,after,error,grounding_requested,grounding_applied,horizontal_flags,grounding_flags,horizontal_side_hit,horizontal_ground_hit,horizontal_ambiguous_hit,grounding_side_hit,grounding_ground_hit,grounding_ambiguous_hit
-1,1,"6.646,11.104,3.300","6.678,11.148,3.402","6.678,11.155,3.402",0.0066,0.0066,0.0000,"Below","Below","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
-1,2,"6.678,11.155,3.402","6.711,11.193,3.504","6.695,11.177,3.453",0.0557,0.0000,0.0000,"5","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
-1,3,"6.695,11.177,3.453","6.744,11.237,3.605","6.702,11.187,3.475",0.1461,0.0000,0.0000,"5","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
-1,4,"6.702,11.187,3.475","6.777,11.281,3.707","6.713,11.201,3.508",0.2236,0.0000,0.0000,"7","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
-1,5,"6.713,11.201,3.508","6.810,11.325,3.809","6.727,11.220,3.552",0.2899,0.0000,0.0000,"7","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
-1,6,"6.727,11.220,3.552","6.843,11.369,3.911","6.730,11.224,3.561",0.3955,0.0000,0.0000,"7","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
-1,7,"6.730,11.224,3.561","6.875,11.413,4.013","6.730,11.224,3.561",0.5113,0.0000,0.0000,"3","None","V10_PROXY_Great_Step_Boundary_Great_Step_Diegetic_Boundary","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","","",""
